Stuart Robert,Representative,Fadden,Queensland,Liberal Party of Australia,,Stuart_Robert,HWT
Sue Lines,Senator,,Western Australia,Australian Labor Party,,Sue_Lines,112096
Susan Lamb,Representative,Longman,Queensland,Australian Labor Party,,Susan_Lamb,265975
Susan Templeman,Representative,Macquarie,New South Wales,Australian Labor Party,,Susan_Templeman,181810
Sussan Ley,Representative,Farrer,New South Wales,Liberal Party of Australia,,Sussan_Ley,00AMN
Tamie Fraser,,,,,Surviving Spouse,Tamie_Fraser,
Tanya Plibersek,Representative,Sydney,New South Wales,Australian Labor Party,,Tanya_Plibersek,83M
Ted O'Brien,Representative,Fairfax,Queensland,Liberal Party of Australia,,Ted_O'Brien,
Teresa Gambaro,Representative,Brisbane,Queensland,Liberal Party of Australia,,Teresa_Gambaro,
Terri Butler,Representative,Griffith,Queensland,Australian Labor Party,,Terri_Butler,248006
Tim Hammond,Representative,Perth,Western Australia,Australian Labor Party,,Tim_Hammond_(politician),80109
Tim Watts,Representative,Gellibrand,Victoria,Australian Labor Party,,Tim_Watts_(politician),193430
Tim Wilson,Representative,Goldstein,Victoria,Liberal Party of Australia,,Tim_Wilson_(Australian_politician),IMW
Tony Abbott,Representative,Warringah,New South Wales,Liberal Party of Australia,,Tony_Abbott,EZ5
Tony Burke,Representative,Watson,New South Wales,Australian Labor Party,,Tony_Burke,DYW
Tony Pasin,Representative,Barker,South Australia,Liberal Party of Australia,,Tony_Pasin,240756
Tony Smith,Representative,Casey,Victoria,Liberal Party of Australia,,Tony_Smith_(Victorian_politician),00APG
Tony Zappia,Representative,Makin,South Australia,Australian Labor Party,,Tony_Zappia,HWB
Trent Zimmerman,Representative,North Sydney,New South Wales,Liberal Party of Australia,,Trent_Zimmerman,203092
Trevor Evans,Representative,Brisbane,Queensland,Liberal Party of Australia,,Trevor_Evans,61378
Warren Entsch,Representative,Leichhardt,Queensland,Liberal Party of Australia,,Warren_Entsch,7K6
Warren Snowdon,Representative,Lingiari,Northern Territory,Australian Labor Party,,Warren_Snowdon,IJ4
Warren Truss,Representative,Wide Bay,Queensland,The Nationals,Life Gold Pass Holder,Warren_Truss,
Wayne Swan,Representative,Lilley,Queensland,Australian Labor Party,,Wayne_Swan,2V5
Wyatt Roy,Representative,Longman,Queensland,Liberal Party of Australia,Post Retirement Traveller,Wyatt_Roy,
Zed Seselja,Senator,,Australian Capital Territory,Liberal Party of Australia,,Zed_Seselja,HZE
Zhenya Wang,Senator,,Western Australia,Palmer United Party,Post Retirement Traveller,Zhenya_Wang,
