Chris Back,Senator,,Western Australia,Liberal Party of Australia,,Chris_Back,
Chris Bowen,Representative,McMahon,New South Wales,Australian Labor Party,,Chris_Bowen,DZS
Chris Crewther,Representative,Dunkley,Victoria,Liberal Party of Australia,,Chris_Crewther,248969
Chris Evans,Senator,,Western Australia,Australian Labor Party,Life Gold Pass Holder,Chris_Evans_(Australian_politician),
Chris Hayes,Representative,Fowler,New South Wales,Australian Labor Party,,Chris_Hayes_(politician),ECV
Chris Ketter,Senator,,Queensland,Australian Labor Party,,Chris_Ketter,244247
Christian Porter,Representative,Pearce,Western Australia,Liberal Party of Australia,,Christian_Porter,208884
Christopher Pyne,Representative,Sturt,South Australia,Liberal Party of Australia,,Christopher_Pyne,9V5
Claire Moore,Senator,,Queensland,Australian Labor Party,,Claire_Moore,00AOQ
Clare O'Neil,Representative,Hotham,Victoria,Australian Labor Party,,Clare_O'Neil,
Clive Palmer,Representative,Fairfax,Queensland,Palmer United Party,,Clive_Palmer,
Concetta Fierravanti-Wells,Senator,,New South Wales,Liberal Party of Australia,,Concetta_Fierravanti-Wells,e4t
Cory Bernardi,Senator,,South Australia,Australian Conservatives,,Cory_Bernardi,G0D
Craig Emerson,Representative,Rankin,Queensland,Australian Labor Party,Life Gold Pass Holder,Craig_Emerson,
Craig Kelly,Representative,Hughes,New South Wales,Liberal Party of Australia,,Craig_Kelly_(politician),99931
Craig Laundy,Representative,Reid,New South Wales,Liberal Party of Australia,,Craig_Laundy,247130
Damian Drum,Representative,Murray,Victoria,The Nationals,,Damian_Drum,56430
Dan Tehan,Representative,Wannon,Victoria,Liberal Party of Australia,,Dan_Tehan,210911
Darren Chester,Representative,Gippsland,Victoria,The Nationals,,Darren_Chester,IPZ
David Bushby,Senator,,Tasmania,Liberal Party of Australia,,David_Bushby,HLL
David Coleman,Representative,Banks,New South Wales,Liberal Party of Australia,,David_Coleman,241067
David Fawcett,Senator,,South Australia,Liberal Party of Australia,,David_Fawcett,DYU
