"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date"
"Ian Macfarlane","Representative","Groom","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","Residential phones 11 Sep 15","75.15","11-Sep-2015"
"Ian Macfarlane","Representative","Groom","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","Dedicated data line 11 Sep 15","90.86","11-Sep-2015"
"Ian Macfarlane","Representative","Groom","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","Residential phones 11 Oct 15","77.71","11-Oct-2015"
"Ian Macfarlane","Representative","Groom","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","Dedicated data line 11 Oct 15","90.86","11-Oct-2015"
"Ian Macfarlane","Representative","Groom","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","Residential phones 11 Apr 16","73.21","11-Apr-2016"
"Ian Macfarlane","Representative","Groom","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","Dedicated data line 11 Apr 16","90.86","11-Apr-2016"
"Ian Macfarlane","Representative","Groom","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","Residential phones 9 May 16","73.20","09-May-2016"
"Ian Macfarlane","Representative","Groom","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","Dedicated data line 9 May 16","90.86","09-May-2016"
