"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","27 Feb 17","27 Feb 17","Sydney","Electorate Business","1","400.00","400.00","27-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","28 Feb 17","2 Mar 17","Canberra","Senate Estimates","3","276.00","828.00","28-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Hobart to Melbourne","","","640.54","06-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Melbourne to Canberra","","","716.51","06-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","749.77","10-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Melbourne to Hobart","","","","10-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Hobart to Melbourne","","","749.77","12-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","","12-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Melbourne","","","749.77","16-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Melbourne to Hobart","","","","16-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Feb 17 - Hobart to Sydney","","","669.63","27-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","28 Feb 17 - Sydney to Canberra","","","659.37","28-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Sydney","","","749.77","03-Mar-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Sydney to Hobart","","","","03-Mar-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Hobart to Melbourne","","","327.20","19-Mar-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Melbourne to Canberra","","","","19-Mar-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","22 Dec 16 - Melbourne to Hobart","","","640.54","22-Dec-2016","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 5 Jan to 4 Feb 17","","","754.59","04-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 8 Jan to 24 Jan 17","","","215.79","24-Jan-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 5 Feb to 4 Mar 17","","","754.59","04-Mar-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 5 Feb to 21 Feb 17","","","155.22","21-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 21 Feb to 22 Feb 17","","","1.25","22-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 5 Dec 16 to 4 Jan 17","","","754.59","05-Dec-2016","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 9 Dec to 28 Dec 16","","","219.46","28-Dec-2016","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","6 Feb 17 - Hobart","","","40.00","06-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","10 Feb 17 - Hobart","","","42.00","10-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","12 Feb 17 - Hobart","","","78.60","12-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","16 Feb 17 - Hobart","","","42.00","16-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","27 Feb 17 - Hobart","","","78.60","27-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","27 Feb 17 - Sydney","","","50.00","27-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","28 Feb 17 - Sydney","","","40.00","28-Feb-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Hobart","","","42.00","03-Mar-2017","",""
"Lisa Singh","Senator","","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","5 Mar 17 - Hobart","","","78.60","05-Mar-2017","",""
