"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","19-Mar-2017"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 18 Jan to 17 Feb 17","","","1,117.45","17-Feb-2017"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Car cleaning 29 Jan 17","","","16.36","29-Jan-2017"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 29 Jan 17","","","46.54","29-Jan-2017"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel interest fee 31 Jan 17","","","0.34","31-Jan-2017"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 18 Feb to 17 Mar 17","","","1,117.45","17-Mar-2017"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 11 Nov to 22 Dec 16","","","191.72","22-Dec-2016"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 18 Nov to 17 Dec 16","","","1,117.45","17-Dec-2016"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","End of lease adj 18 Nov 16","","","370.50","18-Nov-2016"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","End of lease adj 18 Nov 16","","","-4,166.39","18-Nov-2016"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 24 Nov 16","","","74.95","24-Nov-2016"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge 30 Nov 16","","","0.34","30-Nov-2016"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge 15 Dec 16","","","0.34","15-Dec-2016"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 18 Dec 16 to 17 Jan 17","","","1,117.45","18-Dec-2016"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Car cleaning 20 Dec 16 to 15 Jan 17","","","32.73","20-Dec-2016"
"Alex Hawke","Member","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 20 Dec 16 to 15 Jan 17","","","264.49","20-Dec-2016"
