"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","17 Jan 17","17 Jan 17","Perth","Leader of the Opposition - Official Business","1","442.00","442.00","17-Jan-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Jan 17","24 Jan 17","Brisbane","Leader of the Opposition - Official Business","2","434.00","868.00","23-Jan-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","30 Jan 17","Canberra","Leader of the Opposition - Official Business","1","276.00","276.00","30-Jan-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Perth","Leader of the Opposition - Official Business","1","442.00","442.00","02-Feb-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","18 Feb 17","18 Feb 17","Darwin","Leader of the Opposition - Official Business","1","464.00","464.00","18-Feb-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Feb 17","20 Feb 17","Brisbane","Leader of the Opposition - Official Business","1","434.00","434.00","20-Feb-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","23 Feb 17","Sydney","Leader of the Opposition - Official Business","1","442.00","442.00","23-Feb-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","27 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","27-Feb-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","10 Mar 17","10 Mar 17","Perth","Leader of the Opposition - Official Business","1","442.00","442.00","10-Mar-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Mar 17","14 Mar 17","Sydney","Leader of the Opposition - Official Business","1","442.00","442.00","14-Mar-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","20-Mar-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Jan 17 - Melbourne to Sydney","","","756.04","17-Jan-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Jan 17 - Sydney to Perth","","","2,071.52","17-Jan-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","18 Jan 17 - Perth to Melbourne","","","1,817.95","18-Jan-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Melbourne to Brisbane","","","1,023.41","23-Jan-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Brisbane to Rockhampton","","","180.37","24-Jan-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Rockhampton to Brisbane","","","180.37","24-Jan-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Brisbane to Melbourne","","","1,023.41","25-Jan-2017","",""
"Bill Shorten","Member","Maribyrnong","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Melbourne to Sydney","","","267.88","30-Jan-2017","",""
