"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","29 Jul 16 - Brisbane to Sydney","698.67","","29-Jul-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","16 Dec 16 - Canberra to Melbourne","689.24","","16-Dec-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 5 Jul to 22 Jul 16","155.45","","22-Jul-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Lease 17 Jul to 16 Aug 16","1,162.79","","16-Aug-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 31 Jul to 19 Aug 16","189.93","","19-Aug-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Lease 17 Aug to 16 Sep 16","1,162.79","","16-Sep-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 30 Aug to 21 Sep 16","161.77","","21-Sep-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Lease 17 Sep to 16 Oct 16","1,162.79","","16-Oct-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 9 Oct to 25 Oct 16","159.94","","25-Oct-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Lease 17 Oct to 16 Nov 16","1,162.78","","16-Nov-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Lease 17 Jun to 16 Jul 16","1,162.79","","16-Jul-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 18 Jun 16","59.05","","18-Jun-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","29 Jul 16 - Sydney","221.16","","29-Jul-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","18 Dec 16 - Melbourne","80.80","","18-Dec-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","19 Dec 16 - Sydney","146.24","","19-Dec-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","20 Dec 16 - Sydney","60.26","","20-Dec-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Cabcharge","From 1 July 2016","29 Jul 16","50.05","","29-Jul-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Cabcharge","From 1 July 2016","29 Jul 16","56.71","","29-Jul-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Office Facilities","Office Facilities","From 1 July 2016","Aggregated Total","55,715.76","","01-Jan-1900"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","-4,583.00","","01-Jan-1900"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","Office requisites and stationery 1 Aug to 31 Aug 16","732.29","","31-Aug-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","Office requisites and stationery 1 Sep to 30 Sep 16","34.50","","30-Sep-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 July 2016","3,000 Personalised letterhead stationery 13 Sep 16","2,650.00","","13-Sep-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Office Administrative Costs","Additional Printing and Communications","From 1 July 2016","Distribution 1 Jul to 31 Jul 16","80.90","","31-Jul-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Office Administrative Costs","Additional Printing and Communications","From 1 July 2016","Distribution late payment fee Aug 16","15.00","","01-Jan-1900"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Office Administrative Costs","Additional Printing and Communications","From 1 July 2016","Distribution 1 Aug to 31 Aug 16","62.40","","31-Aug-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Office Administrative Costs","Additional Printing and Communications","From 1 July 2016","Distribution 1 Sep to 30 Sep 16","54.17","","30-Sep-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Office Administrative Costs","Additional Printing and Communications","From 1 July 2016","Distribution 1 Sep to 30 Sep 16","181.82","","30-Sep-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Office Administrative Costs","Additional Printing and Communications","From 1 July 2016","Distribution 1 Nov to 30 Nov 16","235.45","","30-Nov-2016"
"Kevin Rudd","Representative","Griffith","Queensland","Australian Labor Party","Office Administrative Costs","Additional Printing and Communications","Before 1 July 2016","Distribution 1 Jun to 30 Jun 16","42.09","","30-Jun-2016"
