"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","19 Jul 16 - Adelaide to Melbourne","693.69","","19-Jul-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","20 Jul 16 - Melbourne to Adelaide","775.37","","20-Jul-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","8 Aug 16 - Adelaide to Sydney","875.52","","08-Aug-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","8 Aug 16 - Sydney to Canberra","","","08-Aug-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","9 Aug 16 - Canberra to Melbourne","870.04","","09-Aug-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","9 Aug 16 - Melbourne to Adelaide","","","09-Aug-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","17 Oct 16 - Adelaide to Darwin","1,371.39","","17-Oct-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","19 Oct 16 - Darwin to Adelaide","1,371.39","","19-Oct-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","4 Nov 16 - Adelaide to Sydney","939.90","","04-Nov-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","5 Nov 16 - Sydney to Adelaide","939.90","","05-Nov-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","20 Dec 16 - Adelaide to Melbourne","870.25","","20-Dec-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","20 Dec 16 - Melbourne to Canberra","","","20-Dec-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","20 Dec 16 - Canberra to Adelaide","861.23","","20-Dec-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","17 Jun 16 - Adelaide to Darwin","1,347.93","","17-Jun-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","18 Jun 16 - Darwin to Adelaide","1,347.93","","18-Jun-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","24 Jun 16 - Adelaide to Sydney","938.95","","24-Jun-2016"
"Nick Bolkus","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","24 Jun 16 - Sydney to Adelaide","938.95","","24-Jun-2016"
