"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","16 Aug 16","Canberra","Official Government or Vice-Regal Function","2","273.00","","546.00","15-Aug-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","3","276.00","","828.00","29-Aug-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","3","276.00","","828.00","10-Oct-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","3","276.00","","828.00","17-Oct-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","3","276.00","","828.00","07-Nov-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","3","276.00","","828.00","21-Nov-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Nov-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Camden to Canberra 15 Aug 16","","","","337.92","15-Aug-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Wombarra to Canberra 29 Aug 16","","","","171.60","29-Aug-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Canberra to Wombarra 1 Sep 16","","","","171.60","01-Sep-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Wombarra to Canberra 11 Sep 16","","","","174.90","11-Sep-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Canberra to Wombarra 15 Sep 16","","","","174.90","15-Sep-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Wombarra to Canberra 10 Oct 16","","","","178.20","10-Oct-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Canberra to Wombarra 13 Oct 16","","","","178.20","13-Oct-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Wombarra to Canberra 17 Oct 16","","","","174.90","17-Oct-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Canberra to Wombarra 20 Oct 16","","","","174.90","20-Oct-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Wombarra to Canberra 7 Nov 16","","","","178.20","07-Nov-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Canberra to Wombarra 10 Nov 16","","","","178.20","10-Nov-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Wombarra to Canberra 21 Nov 16","","","","178.20","21-Nov-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Canberra to Wombarra 24 Nov 16","","","","178.20","24-Nov-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Wombarra to Canberra 28 Nov 16","","","","178.20","28-Nov-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Canberra to Wombarra 2 Dec 16","","","","178.20","02-Dec-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","From 1 July 2016","","","","Aggregated Total","","","","92,917.32","01-Jul-2016"
"Mike Freelander","Representative","Macarthur","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Monochrome copy charge 28 Jul to 27 Aug 16","","","","4.54","27-Aug-2016"
