"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 July 2016","Aggregated Total","1,176.99","01-Jul-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","3,485.26","01-Jul-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 July 2016","e-material 1 Jul 16","9,064.58","01-Jul-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 29 Sep 15","140.00","29-Sep-2015"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution 16 May 16","2,169.43","16-May-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 28 May 16","28.85","28-May-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 31 May 16","975.84","31-May-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 1 Jun 16","350.00","01-Jun-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution 1 Jun to 30 Jun 16","46,188.99","30-Jun-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution credit 1 Jun to 30 Jun 16","-6.82","30-Jun-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 6 Jun 16","950.37","06-Jun-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 6 Jun 16","1.39","06-Jun-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 14 Jun 16","161.00","14-Jun-2016"
