"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date","Notes"
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 July 2016","Aggregated Total","4,474.83","01-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","2,854.57","01-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","Emergency services - administration 1 Jul 16","1.71","01-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 May to 27 Jun 16","1,987.59","27-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 May to 27 Jun 16","4.75","27-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","Water refills 10 Jun 16","25.25","10-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 Jun to 27 Jul 16","26.16","27-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 Jun to 27 Jul 16","344.49","27-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 July 2016","e-material 1 Jul to 2 Jul 16","11,218.81","02-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 July 2016","Distribution 1 Jul to 1 Jul 16","11,388.37","01-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 July 2016","PO Box 1601 rental credit 1 Jul 16 to 31 Mar 17","-127.57","01-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 15 Mar 16","700.00","15-Mar-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 12 May 16","167.66","12-May-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 12 May 16","68.18","12-May-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 1 Jun 16","12.34","01-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution credit 1 Jun to 30 Jun 16","-706.27","30-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution 1 Jun to 30 Jun 16","18,227.15","30-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 5 Jun to 29 Jun 16","280.97","29-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","3,700 Printed items 9 Jun 16","930.00","09-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 9 Jun 16","301.00","09-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","20,621 Printed items 17 Jun 16","3,840.00","17-Jun-2016",""
