"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Judi Moylan","Representative","Pearce","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","12 Jul 16 - Perth to Melbourne","1,946.80","","12-Jul-2016"
"Judi Moylan","Representative","Pearce","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","16 Jul 16 - Melbourne to Perth","1,946.80","","16-Jul-2016"
