"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date","Date From","Date To","Location","Nights","Rate","Spouse"
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","8 Jul 16 - Launceston to Sydney","399.74","","08-Jul-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","8 Jul 16 - Sydney to Canberra","","","08-Jul-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","9 Jul 16 - Canberra to Melbourne","916.06","","09-Jul-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","9 Jul 16 - Melbourne to Launceston","","","09-Jul-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 July 2016","21 Aug 15 - Sydney Airport to Tumbi Umbi","66.16","","21-Aug-2015","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 July 2016","21 Aug 15 - Tumbi Umbi to Sydney Airport","","","21-Aug-2015","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","8 Jul 16 - Hobart","75.00","","08-Jul-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","8 Jul 16 - Canberra","41.80","","08-Jul-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","8 Jul 16 - Canberra","78.60","","08-Jul-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","8 Jul 16 - Canberra","40.00","","08-Jul-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","9 Jul 16 - Canberra","78.60","","09-Jul-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","9 Jul 16 - Hobart","75.00","","09-Jul-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 1 Jul 16","2.95","","01-Jul-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 1 Jul 16","0.67","","01-Jul-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 1 Jul 16","137.92","","01-Jul-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","Lease adj 1 Jul to 31 Jul 16","370.50","","31-Jul-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 8 Apr to 29 Apr 16","292.15","","29-Apr-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 30 Apr 16","1.70","","30-Apr-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 9 May to 24 May 16","173.59","","24-May-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Vehicle transport 27 May 16","612.45","","27-May-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 31 May 16","1.70","","31-May-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 1 Jun 16","2.95","","01-Jun-2016","","","","","",""
"Eric Hutchinson","Representative","Lyons","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 1 Jun 16","0.67","","01-Jun-2016","","","","","",""
