"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Harry Jenkins","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","13 Sep 16 - Melbourne to Canberra","159.19","","13-Sep-2016"
"Harry Jenkins","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","15 Sep 16 - Canberra to Melbourne","159.19","","15-Sep-2016"
