"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date","Date From","Date To","Location","Nights","Rate","Spouse"
"Zhenya Wang","Senator","","Western Australia","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 July 2016","27 Jul 16 - Perth to Melbourne","1,673.97","","27-Jul-2016","","","","","",""
"Zhenya Wang","Senator","","Western Australia","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 July 2016","27 Jul 16 - Melbourne to Canberra","","","27-Jul-2016","","","","","",""
"Zhenya Wang","Senator","","Western Australia","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 July 2016","29 Jul 16 - Canberra to Perth","1,651.31","","29-Jul-2016","","","","","",""
"Zhenya Wang","Senator","","Western Australia","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 July 2016","7 Dec 16 - Perth to Canberra","1,655.40","","07-Dec-2016","","","","","",""
"Zhenya Wang","Senator","","Western Australia","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 July 2016","8 Dec 16 - Canberra to Perth","1,655.40","","08-Dec-2016","","","","","",""
"Zhenya Wang","Senator","","Western Australia","Palmer United Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","19 Jun 16 - Brisbane to Broome","1,718.09","","19-Jun-2016","","","","","",""
"Zhenya Wang","Senator","","Western Australia","Palmer United Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","23 Jun 16 - Karratha to Perth","602.45","","23-Jun-2016","","","","","",""
"Zhenya Wang","Senator","","Western Australia","Palmer United Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","27 Jun 16 - Kalgoorlie to Perth","378.34","","27-Jun-2016","","","","","",""
"Zhenya Wang","Senator","","Western Australia","Palmer United Party","Office Facilities","Office Facilities","From 1 July 2016","Aggregated Total","1,547.49","","01-Jan-1900","","","","","",""
"Zhenya Wang","Senator","","Western Australia","Palmer United Party","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","2,828.99","","01-Jan-1900","","","","","",""
"Zhenya Wang","Senator","","Western Australia","Palmer United Party","Office Administrative Costs","Printing and Communications","From 1 July 2016","1 Printed item 1 Jul 16","721.87","","01-Jul-2016","","","","","",""
"Zhenya Wang","Senator","","Western Australia","Palmer United Party","Office Administrative Costs","Printing and Communications","From 1 July 2016","1 Printed item 1 Jul 16","721.87","","01-Jul-2016","","","","","",""
"Zhenya Wang","Senator","","Western Australia","Palmer United Party","Office Administrative Costs","Printing and Communications","From 1 July 2016","1 Printed item 1 Jul 16","853.45","","01-Jul-2016","","","","","",""
"Zhenya Wang","Senator","","Western Australia","Palmer United Party","Office Administrative Costs","Printing and Communications","Before 1 July 2016","4 Printed items 6 May to 27 May 16","400.00","","27-May-2016","","","","","",""
