"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","28 Aug 16","Canberra","Parliamentary Political Party Meeting","1","276.00","","276.00","28-Aug-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","29-Aug-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","16-Oct-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 4 Jul to 28 Aug 16","","","","542.41","28-Aug-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 19 Jul to 18 Aug 16","","","","1,280.39","18-Aug-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 19 Aug to 18 Sep 16","","","","1,280.39","18-Sep-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 1 Sep to 22 Sep 16","","","","141.93","22-Sep-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 19 Sep to 18 Oct 16","","","","1,280.39","18-Oct-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 26 Sep to 29 Oct 16","","","","319.38","29-Oct-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 19 Oct to 18 Nov 16","","","","1,280.38","18-Nov-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Deduction of Personal Contribution for Private-Plated Vehicle","","","","-289.80","01-Jan-1900"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 14 May to 26 Jun 16","","","","682.87","26-Jun-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Infringement notice fee 21 May 16","","","","15.00","21-May-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Lease 19 Jun to 18 Jul 16","","","","1,280.39","18-Jul-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 23 Jun to 22 Jul 16","","","","274.62","22-Jul-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","17 Jul 16 - Canberra","","","","78.60","17-Jul-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","17 Jul 16 - Canberra","","","","78.60","17-Jul-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 July 2016","","","","Aggregated Total","","","","42,200.28","01-Jan-1900"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 July 2016","","","","Aggregated Total","","","","2,756.60","01-Jan-1900"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Office requisites and stationery 1 Jul to 31 Jul 16","","","","2,458.35","31-Jul-2016"
