"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","21 Oct 16 - Perth to Canberra","1,651.31","","21-Oct-2016"
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","22 Oct 16 - Canberra to Sydney","1,679.45","","22-Oct-2016"
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","22 Oct 16 - Sydney to Perth","","","22-Oct-2016"
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Charter","SMOS Approved","Before 1 July 2016","Broome 10 Jun 15","169.65","","10-Jun-2015"
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Charter","SMOS Approved","Before 1 July 2016","Broome 11 Jun to 11 Jun 15","122.73","","11-Jun-2015"
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Lease 30 Apr to 30 May 16","1,280.54","","30-May-2016"
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","734.94","","01-Jul-2016"
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution 1 Nov to 30 Nov 15","111.17","","30-Nov-2015"
