"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","5 Feb 17","Canberra","Parliamentary Political Party Meeting","1","276.00","276.00","05-Feb-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Mar 17","7 Mar 17","Canberra","Economics - Reps","2","276.00","552.00","06-Mar-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","16 Nov 16","16 Nov 16","Melbourne","Economics - Reps","1","382.00","382.00","16-Nov-2016"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Sydney to Canberra 5 Feb 17","","","92.84","05-Feb-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Canberra to Sydney 10 Feb 17","","","92.84","10-Feb-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Sydney to Canberra 12 Feb 17","","","180.84","12-Feb-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Canberra to Sydney 17 Feb 17","","","72.24","17-Feb-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Canberra to Sydney 17 Feb 17","","","39.60","17-Feb-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Sydney to Canberra 26 Feb 17","","","92.84","26-Feb-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Canberra to Sydney 3 Mar 17","","","92.84","03-Mar-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Sydney to Canberra 6 Mar 17","","","92.84","06-Mar-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Canberra to Sydney 8 Mar 17","","","92.84","08-Mar-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","25,134.27","01-Jan-1900"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","799.51","01-Jan-1900"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 28 Jan to 27 Feb 17","","","236.19","27-Feb-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 28 Jan to 27 Feb 17","","","23.39","27-Feb-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Feb to 28 Feb 17","","","607.78","28-Feb-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Flags 1 Feb to 28 Feb 17","","","693.61","28-Feb-2017"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Reimbursement of price cap overspend 28 May to 27 Jun 16","","","-326.58","27-Jun-2016"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Reimbursement of price cap overspend 28 Jun to 30 Jun 16","","","-122.62","30-Jun-2016"
"Craig Kelly","Representative","Hughes","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Reimbursement of price cap overspend 30 Jun 16","","","-649.86","30-Jun-2016"
