"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Jan 17","19 Jan 17","Portland","Minister - Official Business","1","372.00","372.00","19-Jan-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Jan 17","24 Jan 17","Canberra","Minister - Official Business","3","276.00","828.00","22-Jan-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","31 Jan 17","Canberra","Minister - Official Business","2","276.00","552.00","30-Jan-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Feb 17","20 Feb 17","Melbourne","Minister - Official Business","1","442.00","442.00","20-Feb-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","21 Feb 17","21 Feb 17","Sydney","Minister - Official Business","1","442.00","442.00","21-Feb-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Feb 17","22 Feb 17","Grafton","Minister - Official Business","1","372.00","372.00","22-Feb-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","26-Feb-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","7 Mar 17","7 Mar 17","Canberra","Minister - Official Business","1","276.00","276.00","07-Mar-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","8 Mar 17","8 Mar 17","Gold Coast","Minister - Official Business","1","377.00","377.00","08-Mar-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Mar 17","9 Mar 17","Sydney","Minister - Official Business","1","442.00","442.00","09-Mar-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Mar 17","12 Mar 17","Sydney","Minister - Official Business","1","442.00","442.00","12-Mar-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Mar 17","14 Mar 17","Canberra","Minister - Official Business","2","276.00","552.00","13-Mar-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","22 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","19-Mar-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Mar 17","23 Mar 17","Melbourne","Minister - Official Business","1","442.00","442.00","23-Mar-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Jan 17 - Melbourne to Canberra","","","716.51","22-Jan-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Canberra to Melbourne","","","716.51","25-Jan-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Melbourne to Canberra","","","716.51","30-Jan-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Canberra to Melbourne","","","716.51","01-Feb-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Melbourne to Canberra","","","716.51","05-Feb-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Melbourne","","","716.51","09-Feb-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","245.30","12-Feb-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Melbourne","","","716.51","16-Feb-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Melbourne to Sydney","","","842.36","21-Feb-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Sydney to Grafton","","","462.00","22-Feb-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Grafton to Sydney","","","462.00","23-Feb-2017","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Sydney to Melbourne","","","842.36","23-Feb-2017","",""
