"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","06-Feb-2017"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","26-Feb-2017"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 26 Jan to 23 Feb 17","","","859.45","23-Feb-2017"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 28 Jan to 27 Feb 17","","","1,732.24","27-Feb-2017"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel interest fee 31 Jan 17","","","0.68","31-Jan-2017"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 28 Feb to 27 Mar 17","","","1,732.24","27-Mar-2017"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 3 Nov to 27 Nov 16","","","635.43","27-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge fee 22 Nov 16","","","0.34","22-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Car cleaning 28 Nov 16","","","16.36","28-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 28 Nov to 27 Dec 16","","","1,732.24","27-Dec-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 3 Dec to 23 Dec 16","","","450.10","23-Dec-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge 7 Dec to 15 Dec 16","","","1.02","15-Dec-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Car cleaning 11 Dec 16","","","13.64","11-Dec-2016"
