"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","8 Feb 17 - Sydney to Adelaide","970.71","","08-Feb-2017"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","9 Feb 17 - Adelaide to Sydney","970.71","","09-Feb-2017"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","Lease 23 Jan to 22 Feb 17","1,081.92","","22-Feb-2017"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","Fuel 27 Jan to 15 Feb 17","153.39","","15-Feb-2017"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","Fuel interest fee 31 Jan 17","0.34","","31-Jan-2017"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","Lease 23 Feb to 22 Mar 17","1,081.92","","22-Mar-2017"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Fuel 1 Nov to 28 Nov 16","223.37","","28-Nov-2016"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Admin charge 7 Nov to 22 Nov 16","1.01","","22-Nov-2016"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Lease 23 Nov to 22 Dec 16","1,081.92","","22-Dec-2016"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Fuel 2 Dec to 15 Dec 16","121.01","","15-Dec-2016"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Admin charge 15 Dec 16","0.34","","15-Dec-2016"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Fuel 21 Dec 16 to 19 Jan 17","277.19","","21-Dec-2016"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Fuel interest fee 22 Dec 16 to 22 Jan 17","1.01","","22-Dec-2016"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Lease 23 Dec 16 to 22 Jan 17","1,081.92","","23-Dec-2016"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","8 Feb 17 - Adelaide","41.80","","08-Feb-2017"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","9 Feb 17 - Adelaide","40.00","","09-Feb-2017"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","9 Feb 17 - Adelaide","75.98","","09-Feb-2017"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2017","Aggregated Total","29,551.15","","01-Jan-2017"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Office Facilities","Office Facilities","Before 1 January 2017","Aggregated Total","90.93","","01-Jan-2017"
"Bob Hawke","Representative","Wills","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","MFD Colour copy charge 28 Jan to 27 Feb 17","9.07","","27-Feb-2017"
