"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Jan 16 - Melbourne to Sydney","","","","745.89","19-Jan-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Jan 16 - Sydney to Melbourne","","","","745.89","28-Jan-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Melbourne","","","","686.29","04-Feb-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Melbourne to Canberra","","","","613.09","07-Feb-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Melbourne to Canberra","","","","613.09","11-Feb-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Melbourne","","","","613.09","12-Feb-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Melbourne to Canberra","","","","613.09","21-Feb-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Canberra to Melbourne","","","","613.09","26-Feb-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Melbourne to Canberra","","","","613.09","28-Feb-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Canberra to Melbourne","","","","613.09","04-Mar-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Mar 16 - Melbourne to Sydney","","","","780.82","09-Mar-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Mar 16 - Sydney to Melbourne","","","","698.76","12-Mar-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Melbourne to Canberra","","","","409.90","14-Mar-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Melbourne","","","","686.29","18-Mar-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Mar 16 - Melbourne to Brisbane","","","","991.59","29-Mar-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","30 Mar 16 - Brisbane to Melbourne","","","","1,094.38","30-Mar-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Apr 16 - Canberra to Melbourne","","","","686.29","18-Apr-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Apr 16 - Melbourne to Canberra","","","","686.29","19-Apr-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Apr 16 - Melbourne to Sydney","","","","780.82","27-Apr-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Apr 16 - Sydney to Melbourne","","","","698.76","29-Apr-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Melbourne to Canberra","","","","686.29","01-May-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 May 16 - Canberra to Melbourne","","","","613.09","07-May-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Jun 16 - Melbourne to Sydney","","","","698.76","08-Jun-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Jun 16 - Sydney to Melbourne","","","","698.76","10-Jun-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Jun 16 - Melbourne to Sydney","","","","780.82","18-Jun-2016","",""
