"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","4 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-Feb-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","17 Nov 15","17 Nov 15","Sydney","Corporations and Financial Services","1","397.00","","397.00","17-Nov-2015"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","18 Nov 15","18 Nov 15","Brisbane","Corporations and Financial Services","1","408.00","","408.00","18-Nov-2015"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","22 Nov 15","26 Nov 15","Canberra","Sittings of Parliament","5","273.00","","1,365.00","22-Nov-2015"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","29 Nov 15","3 Dec 15","Canberra","Sittings of Parliament","5","273.00","","1,365.00","29-Nov-2015"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 19 Jan to 18 Feb 16","","","","1,280.39","18-Feb-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 19 Jan to 27 Feb 16","","","","298.38","27-Feb-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 1 Feb to 29 Mar 16","","","","270.30","29-Mar-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 19 Feb to 18 Mar 16","","","","1,280.39","18-Mar-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 12 Mar to 22 Apr 16","","","","397.07","22-Apr-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 19 Mar to 18 Apr 16","","","","1,280.39","18-Apr-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 8 Apr to 28 May 16","","","","304.80","28-May-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 19 Apr to 18 May 16","","","","1,280.39","18-May-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 19 May to 18 Jun 16","","","","1,280.39","18-Jun-2016"
"Ann Sudmalis","Representative","Gilmore","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Deduction of Personal Contribution for Private-Plated Vehicle","","","","-289.80","01-Jan-1900"
