"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Sydney 15 May 15","","","","3.60","15-May-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Sydney to Canberra 24 May 15","","","","3.60","24-May-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Sydney 29 May 15","","","","3.60","29-May-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Sydney to Canberra 31 May 15","","","","3.60","31-May-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Sydney 5 Jun 15","","","","3.60","05-Jun-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Sydney to Canberra 14 Jun 15","","","","3.60","14-Jun-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Sydney 19 Jun 15","","","","3.60","19-Jun-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Sydney to Canberra 21 Jun 15","","","","3.60","21-Jun-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Sydney 26 Jun 15","","","","3.60","26-Jun-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Sydney to Canberra 9 Aug 15","","","","3.60","09-Aug-2015"
