"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date"
"Brett Mason","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2016","Toll infringement 15 Apr 15","10.75","15-Apr-2015"
"Brett Mason","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2016","Loan car costs 15 Apr 15","35.00","15-Apr-2015"
"Brett Mason","Senator","","Queensland","Liberal Party of Australia","Car Costs","Other Car Costs","Before 1 January 2016","Canberra 26 Sep to 29 Sep 14","-42.00","29-Sep-2014"
"Brett Mason","Senator","","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","Toner cartridge credit 1 Jul 12 to 30 Jun 14","-32.28","01-Jul-2012"
"Brett Mason","Senator","","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","Toner cartridge credit 1 Jul 14 to 30 Jun 15","-589.73","01-Jul-2014"
