"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Canberra to Adelaide","","","","834.00","05-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Feb 16 - Adelaide to Melbourne","","","","778.37","06-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Feb 16 - Melbourne to Canberra","","","","","06-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Sydney","","","","598.39","12-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Sydney to Adelaide","","","","938.95","12-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Feb 16 - Adelaide to Melbourne","","","","774.58","15-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Feb 16 - Melbourne to Adelaide","","","","774.58","15-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Feb 16 - Adelaide to Port Lincoln","","","","248.62","16-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Feb 16 - Port Lincoln to Adelaide","","","","370.95","16-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Feb 16 - Adelaide to Melbourne","","","","774.58","18-Feb-2016","",""
