"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Martin Ferguson","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","5 Feb 16 - Melbourne to Canberra","613.09","","05-Feb-2016"
"Martin Ferguson","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","7 Feb 16 - Canberra to Melbourne","686.29","","07-Feb-2016"
