"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date","Date From","Date To","Location","Nights","Rate","Spouse"
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","20 Apr 16 - Perth to Melbourne","329.34","","20-Apr-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","20 Apr 16 - Melbourne to Canberra","","","20-Apr-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","24 Apr 16 - Canberra to Melbourne","329.34","","24-Apr-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","24 Apr 16 - Melbourne to Perth","","","24-Apr-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","31 Jan 16 - Perth to Melbourne","811.81","","31-Jan-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","31 Jan 16 - Melbourne to Canberra","","","31-Jan-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","10 Feb 16 - Canberra to Perth","803.37","","10-Feb-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","15 Feb 16 - Perth to Brisbane","1,033.47","","15-Feb-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","15 Feb 16 - Brisbane to Townsville","178.06","","15-Feb-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","17 Feb 16 - Townsville to Brisbane","497.08","","17-Feb-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","17 Feb 16 - Brisbane to Perth","","","17-Feb-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","18 Feb 16 - Perth to Melbourne","297.22","","18-Feb-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","19 Feb 16 - Melbourne to Canberra","135.61","","19-Feb-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","7 Mar 16 - Canberra to Sydney","103.74","","07-Mar-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","9 Mar 16 - Sydney to Melbourne","139.30","","09-Mar-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","10 Mar 16 - Melbourne to Sydney","139.30","","10-Mar-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","11 Mar 16 - Sydney to Canberra","103.74","","11-Mar-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","20 Mar 16 - Canberra to Melbourne","1,508.73","","20-Mar-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","20 Mar 16 - Melbourne to Perth","","","20-Mar-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","4 Apr 16 - Perth to Adelaide","348.50","","04-Apr-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","4 Apr 16 - Adelaide to Canberra","","","04-Apr-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Sittings of Parliament","1,365.00","","31-Jan-2016","31 Jan 16","4 Feb 16","Canberra","5","273.00",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Senate Estimates","1,365.00","","05-Feb-2016","5 Feb 16","9 Feb 16","Canberra","5","273.00",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Rural and Regional Affairs and Transport","566.00","","15-Feb-2016","15 Feb 16","16 Feb 16","Townsville","2","283.00",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Environment and Communications","379.00","","18-Feb-2016","18 Feb 16","18 Feb 16","Melbourne","1","379.00",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Sittings of Parliament","3,003.00","","21-Feb-2016","21 Feb 16","2 Mar 16","Canberra","11","273.00",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Rural and Regional Affairs and Transport","273.00","","03-Mar-2016","3 Mar 16","3 Mar 16","Canberra","1","273.00",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Trade and Investment Growth","794.00","","07-Mar-2016","7 Mar 16","8 Mar 16","Sydney","2","397.00",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Trade and Investment Growth","379.00","","09-Mar-2016","9 Mar 16","9 Mar 16","Melbourne","1","379.00",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Environment and Communications","397.00","","10-Mar-2016","10 Mar 16","10 Mar 16","Sydney","1","397.00",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Sittings of Parliament","1,638.00","","13-Mar-2016","13 Mar 16","18 Mar 16","Canberra","6","273.00",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Rural and Regional Affairs and Transport","273.00","","04-Apr-2016","4 Apr 16","4 Apr 16","Canberra","1","273.00",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","Canberra to Perth 6 Apr 16","2,345.49","","06-Apr-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2016","31 Jan 16","29.47","","31-Jan-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2016","8 Feb 16","15.94","","08-Feb-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2016","8 Feb 16","14.03","","08-Feb-2016","","","","","",""
"Joe Bullock","Senator","","Western Australia","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2016","9 Feb 16","14.33","","09-Feb-2016","","","","","",""
